Validation_Set,Topics,Alpha,Beta,Perplexity,U_mass,C_v,C_uci,C_npmi
100% Corpus,25,0.01,0.1,-6.183498523035527,-11.873757057837965,0.40244432574111216,-10.625912965596163,-0.31425341529371864
100% Corpus,25,0.01,0.5,-6.1659090473072675,-12.275979309022489,0.4066361387931515,-10.980655551750301,-0.3280239032648546
100% Corpus,25,0.01,1,-6.256521515601831,-12.442271944051656,0.4267859962570377,-11.128321724900088,-0.3348930496492939
100% Corpus,25,0.01,symmetric,-6.351783551106985,-11.815691890351715,0.39676596139339226,-10.590461337925914,-0.3111661005184167
100% Corpus,25,0.1,0.01,-6.9510603019659465,-12.041673769969076,0.3917637060444495,-10.830157001304922,-0.3207895446940939
100% Corpus,25,0.1,0.1,-6.32509867167619,-11.825909612992403,0.3975451097191154,-10.654350780975205,-0.3147873704615297
100% Corpus,25,0.1,0.5,-6.344118942856757,-12.171089885112092,0.3884302513154617,-10.839836212761863,-0.3241932999955578
100% Corpus,25,0.1,1,-6.4321055754546705,-12.07909873317282,0.41197595830970535,-10.723739747774104,-0.3151720112188836
100% Corpus,25,0.1,symmetric,-6.475116312678515,-12.199082315664219,0.3987875855628581,-10.856874741606969,-0.32335878073788377
100% Corpus,25,0.5,0.01,-7.095707266355495,-11.161741877129485,0.3899340906620873,-9.869241960765622,-0.273042799079015
100% Corpus,25,0.5,0.1,-6.550461458891448,-11.433178694820713,0.37718921260270255,-9.988600964217241,-0.2800710316922051
100% Corpus,25,0.5,0.5,-6.644788369850066,-10.345269838339927,0.37282121342254426,-9.378322773036029,-0.25470007867721406
100% Corpus,25,0.5,1,-6.724918692343209,-9.028338382583662,0.3921893876537456,-8.6856533359633,-0.22283455205450983
100% Corpus,25,0.5,symmetric,-6.629846345590586,-11.497035818965205,0.38544545254599477,-9.983511131793694,-0.2788951831404907
100% Corpus,25,1,0.01,-7.529949492378106,-11.447465052625207,0.39810385498382095,-10.127345594269705,-0.2826799357360328
100% Corpus,25,1,0.1,-6.701279663697705,-9.719722394487016,0.4004052036509691,-8.96028619277554,-0.22400463173899268
100% Corpus,25,1,0.5,-6.883953621326614,-8.321192757682471,0.3649642350955581,-8.448902683570955,-0.22277623668113783
100% Corpus,25,1,1,-7.00724076405525,-9.086524921478244,0.35807064926398285,-9.0860249916212,-0.2867523252690226
100% Corpus,25,1,symmetric,-6.824133198390907,-10.630093587597717,0.39588944140087895,-9.595235142017746,-0.25637880992116263
100% Corpus,25,symmetric,0.01,-6.864189772344798,-11.984566521889535,0.39788452527944446,-10.712164334133442,-0.3168295387720328
100% Corpus,25,symmetric,0.1,-6.240423388276899,-11.977070177857202,0.40017470606793654,-10.696861282172977,-0.3165811771621649
100% Corpus,25,symmetric,0.5,-6.236772675165455,-12.103974929774665,0.38697609312155246,-10.888846087963838,-0.32710928084282886
100% Corpus,25,symmetric,1,-6.322407513491605,-12.124714201755458,0.41817231794708254,-10.864383138711936,-0.3225914951001525
100% Corpus,25,symmetric,symmetric,-6.393967441057098,-11.982944264904921,0.39206680534870286,-10.65571103145791,-0.31370675539108206
100% Corpus,25,asymmetric,0.01,-6.8633729400489925,-11.691642401816035,0.4058859057974554,-10.504276546672004,-0.30487087972846805
100% Corpus,25,asymmetric,0.1,-6.261210176592473,-12.18798288054669,0.3931211873817041,-10.941997820579621,-0.3285483282686058
100% Corpus,25,asymmetric,0.5,-6.214459025181677,-11.126623847817795,0.4342925141522944,-10.120537062632359,-0.28911129547668507
100% Corpus,25,asymmetric,1,-6.300757450681669,-10.987054436472754,0.4164192937299594,-10.05023871528915,-0.28730641008340085
100% Corpus,25,asymmetric,symmetric,-6.404308523674059,-11.847363052830215,0.406682988681861,-10.654719403247817,-0.31179457015766276
100% Corpus,28,0.01,0.01,-6.8030656422817195,-12.504241492764931,0.39485459091522257,-11.033961279741922,-0.32940592734711105
100% Corpus,28,0.01,0.1,-6.148186407211047,-12.13378035708491,0.37864355122160204,-10.719127609473277,-0.31822937274522467
100% Corpus,28,0.01,0.5,-6.159169970251483,-12.00973377617308,0.40432029564292077,-10.765654523220684,-0.3185271591374636
100% Corpus,28,0.01,1,-6.264020109701532,-12.289561230577842,0.4227727613802633,-10.961400754039357,-0.32699616112061364
100% Corpus,28,0.01,symmetric,-6.340191357796617,-12.313033425174472,0.3937569878629767,-10.93019061242544,-0.32735828294715175
100% Corpus,28,0.1,0.01,-6.958542227125664,-11.837224158883386,0.381706564599344,-10.517551609573843,-0.30767854130515715
100% Corpus,28,0.1,0.1,-6.3231309030871055,-12.316495322860002,0.39137244306971536,-10.762553638102249,-0.3178233826670008
